Function and Subfunction,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate,2021 estimate
050 National Defense:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051 Department of Defense-Military:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551 Health care services,"11,395","2,794","13,403","14,225","17,028","18,480","21,520","22,097","19,228","25,240","26,454","29,416","32,880","36,749","42,011","50,425","63,879","80,086","95,637","102,938","103,099","95,446","114,741","118,709","123,638","140,537","157,657","178,787","200,807","219,528","219,113","262,668","210,534","251,630","327,095","369,259","322,458","324,586","303,786","379,795","458,947","485,606","528,153","564,660","601,993","639,785","663,246"
552 Health research and training,"3,111",601,"3,502","3,857","4,200","4,565","4,422","4,338","4,743","5,233","5,950","6,057","7,187","7,565","8,277","8,972","9,863","10,693","11,148","11,599","11,887","12,434","13,392","14,270","16,305","18,563","21,488","24,377","28,052","28,932","29,562","29,343","30,174","30,199","42,496","32,268","32,797","32,655","31,116","32,020","32,503","34,336","35,167","36,075","36,670","36,837","37,404"
554 Consumer and occupational health and safety,684,181,773,864,949,"1,000","1,082","1,044","1,083","1,156","1,196","1,157","1,250","1,313","1,397","1,503","1,646","1,764","1,817","1,935","1,981","1,976","2,040","2,112","2,230","2,370","2,531","2,866","2,793","2,941","3,071","3,154","3,520","3,435","4,025","4,685","4,468","4,656","4,072","4,767","4,620","4,826","4,997","5,020","5,120","5,222","5,326"
"Total, Health","15,190","3,576","17,678","18,945","22,177","24,045","27,024","27,479","25,053","31,629","33,600","36,631","41,317","45,627","51,684","60,901","75,387","92,543","108,602","116,472","116,967","109,856","130,173","135,091","142,173","161,470","181,676","206,030","231,652","251,401","251,746","295,165","244,228","285,264","373,616","406,212","359,723","361,897","338,974","416,582","496,070","524,768","568,317","605,755","643,783","681,844","705,976"
570 Medicare:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571 Medicare,"15,785","4,280","19,416","22,826","26,657","32,237","39,148","46,562","52,591","57,835","65,579","71,202","75,105","78,806","85,395","105,882","103,208","133,598","124,757","162,677","156,540","179,652","189,999","193,667","190,625","200,588","217,096","234,428","249,947","271,656","303,410","365,371","385,008","406,561","436,987","452,618","502,275","484,282","507,813","527,580","547,592","601,577","605,380","607,915","663,414","702,886","751,141"
600 Income Security:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601 General retirement and disability insurance (excluding social security),"3,534","1,165","3,717","3,723","5,326","5,446","5,557","5,537","5,520","5,334","5,473","5,711","5,373","5,681","5,760","5,672","5,911","5,989","5,678","6,244","5,540","6,185","5,950","5,841","2,573","6,128","6,869","6,738","6,449","6,480","5,303","7,229","7,418","7,545","14,583","7,921","7,988","8,061","8,521","8,612","8,816","9,231","9,826","9,622","9,833","10,029","10,375"
602 Federal employee retirement and disability,"16,092","4,317","18,349","20,577","23,215","27,340","32,007","35,146","37,578","38,898","40,881","42,865","44,545","47,936","50,667","53,631","57,150","58,351","61,675","64,062","67,309","69,754","72,743","75,233","76,783","79,010","82,531","85,180","86,830","90,556","95,116","100,764","106,092","110,902","119,515","122,102","122,868","128,418","133,610","136,821","140,226","141,691","144,777","149,124","153,970","159,050","164,138"
603 Unemployment compensation,"15,006","2,907","16,036","10,749","10,848","17,927","19,748","25,153","30,576","20,669","16,372","17,030","16,980","15,217","15,761","18,960","27,179","39,534","38,164","28,696","23,750","24,964","22,968","22,130","23,725","23,023","32,694","53,551","57,464","45,596","35,150","33,791","35,298","45,630","127,635","166,191","119,282","93,602","70,817","44,194","34,853","35,152","37,662","40,979","42,229","44,623","46,310"
604 Housing assistance,"19,421",111,"28,632","32,305","24,789","27,941","26,934","14,612","10,502","12,675","26,882","11,646","9,868","9,700","9,570","11,263","19,779","19,790","21,245","21,214","15,436","16,545","11,877","17,643","20,593","18,351","25,357","27,192","28,986","29,804","30,120","31,489","34,008","35,295","106,393","53,778","44,166","40,128","39,503","42,842","42,801","44,654","46,734","47,854","48,967","50,038","51,110"
605 Food and nutrition assistance,"7,737","1,966","8,875","9,017","10,566","13,775","16,576","15,785","18,204","18,285","18,712","18,853","19,618","20,700","21,432","25,223","29,605","33,624","39,181","40,085","40,818","40,434","41,019","37,840","35,552","35,925","35,030","38,880","43,349","48,582","53,428","60,249","58,382","60,791","83,561","95,415","105,049","115,139","112,049","115,485","111,319","110,965","112,979","114,548","115,532","114,333","114,508"
609 Other income security,"12,434","3,217","13,515","13,027","13,592","17,915","20,206","18,259","21,561","22,274","23,269","24,931","26,147","29,263","31,128","32,523","41,547","46,232","52,078","60,732","66,224","68,604","77,522","77,370","84,417","87,324","91,025","98,367","106,602","113,350","129,923","117,572","126,828","166,009","158,884","178,635","184,319","163,512","169,129","178,034","177,621","184,189","198,004","195,773","205,978","211,460","218,179"
"Total, Income Security","74,224","13,684","89,124","89,398","88,335","110,344","121,028","114,492","123,941","118,134","131,589","121,037","122,531","128,498","134,318","147,273","181,172","203,521","218,023","221,033","219,077","226,486","232,079","236,057","243,643","249,761","273,506","309,908","329,680","334,368","349,040","351,094","368,026","426,172","610,571","624,042","583,672","548,860","533,629","525,988","515,636","525,882","549,982","557,900","576,509","589,533","604,620"
650 Social Security:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651 Social security,"74,535","20,019","85,626","94,453","104,994","119,955","141,076","157,081","171,737","178,793","193,176","196,642","208,392","221,137","233,501","250,641","271,253","289,532","306,337","321,138","333,287","352,131","366,050","380,464","391,098","412,032","440,370","461,930","476,571","496,047","531,657","552,225","588,962","619,667","689,801","706,829","731,730","777,604","816,453","854,238","892,006","932,919","976,474","1,036,151","1,100,587","1,168,369","1,234,923"
(On-budget),515,..........,717,741,761,677,672,844,"20,753","7,083","8,527","4,861","4,930","4,852","5,069","3,766","2,722","6,167","6,248","5,687","5,479","5,816","6,895","9,142","10,830","13,262","11,700","13,978","13,291","14,348","16,527","16,066","19,335","17,841","35,002","22,921","101,909","140,363","55,865","25,819","30,939","32,732","39,470","42,942","46,761","50,747","54,735"
(Off-budget),"74,019","20,019","84,909","93,712","104,233","119,278","140,404","156,238","150,984","171,710","184,648","191,782","203,461","216,285","228,432","246,875","268,531","283,365","300,089","315,450","327,808","346,315","359,155","371,322","380,268","398,770","428,670","447,952","463,280","481,699","515,130","536,159","569,627","601,826","654,799","683,908","629,821","637,241","760,588","828,419","861,067","900,187","937,004","993,209","1,053,826","1,117,622","1,180,188"
700 Veterans Benefits and Services:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701 Income security for veterans,"8,704","2,154","9,467","10,146","11,224","11,783","13,222","14,522","14,229","14,896","15,104","15,378","15,408","15,865","16,403","16,680","17,509","17,433","18,146","18,622","18,851","19,730","20,688","21,544","22,965","22,677","24,469","27,153","30,053","30,925","33,464","34,992","39,684","42,305","44,747","62,282","55,019","52,256","62,524","72,424","79,966","77,733","86,900","90,688","97,698","103,734","109,748"
"702 Veterans education, training, and rehabilitation","5,981","1,153","3,956","2,607","2,474","2,342","2,323","1,934","1,640","1,556","1,036",575,362,366,303,219,790,563,638,991,"1,047",972,"1,135","1,125",938,"1,255","1,608","1,938","2,040","2,412","2,653","2,997","2,523","2,824","3,766","8,593","10,396","12,195","11,274","13,310","15,147","14,436","16,515","13,819","17,134","17,926","18,763"
703 Hospital and medical care for veterans,"4,436","1,092","5,074","5,638","6,112","6,409","6,919","7,802","8,816","9,078","10,005","9,964","10,481","10,836","11,523","12,168","13,194","14,256","15,235","16,187","16,555","16,812","17,375","17,959","18,032","19,584","20,931","22,327","24,754","27,453","30,400","31,242","35,038","39,056","43,683","47,057","50,343","52,553","54,629","71,191","57,719","63,649","66,786","69,976","70,713","72,123","73,568"
704 Veterans housing,15,3,14,14,23,19,16,17,-63,214,322,214,114,"1,497",792,561,744,831,"1,196",203,628,226,-276,"1,161","1,107",796,-901,-878,520,"-1,944",892,"-1,218",-886,-414,-556,570,"1,285","1,414","1,336","2,145",745,623,681,389,460,507,540
705 Other veterans benefits and services,528,125,542,618,649,641,671,687,721,738,779,744,803,798,842,872,983,994,963,980,"1,050",994,984,963,"1,058","1,108","1,406","1,500","1,666","1,601","1,792","2,958","3,194","4,540","5,308","5,942","6,081","6,106","6,789","7,162","7,392","7,950","8,334","8,520","8,690","8,864","9,043"
"Total, Veterans Benefits and Services","19,664","4,527","19,053","19,023","20,481","21,194","23,150","24,963","25,341","26,483","27,246","26,875","27,169","29,362","29,863","30,499","33,221","34,076","36,178","36,983","38,131","38,734","39,906","42,752","44,100","45,420","47,513","52,040","59,033","60,447","69,201","70,971","79,553","88,311","96,948","124,444","123,124","124,524","136,552","166,232","160,969","164,391","179,216","183,392","194,695","203,154","211,662"
750 Administration of Justice:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751 Federal law enforcement activities,"1,668",438,"1,789","2,008","2,189","2,342","2,561","2,801","3,212","3,590","3,879","3,897","4,908","5,319","4,965","5,398","6,169","6,919","6,989","7,021","7,785","8,286","9,748","11,206","11,895","12,161","13,763","17,219","18,108","19,725","20,561","21,826","24,716","27,786","29,257","30,436","28,380","27,734","27,217","27,824","34,126","26,580","31,468","31,883","32,470","33,055","33,649"
752 Federal litigative and judicial activities,726,187,863,"1,029","1,190","1,370","1,484","1,530","1,702","1,905","2,204","2,190","2,680","2,926","3,288","3,827","4,614","5,130","5,486","5,884","6,099","6,060","6,528","6,772","7,445","7,844","8,493","9,280","9,979","10,366","11,087","12,076","12,891","12,972","14,239","14,913","15,065","17,677","14,930","17,769","14,405","14,827","16,170","16,158","16,462","16,771","17,083"
753 Federal correctional activities,208,55,297,308,339,320,352,423,468,495,599,595,867,"1,059","1,553","2,578","1,728","2,101","1,937","2,222","2,557","2,881","3,183","3,097","3,299","3,667","4,303","4,614","4,441","4,768","4,776","4,931","5,444","5,660","6,177","6,205","6,381","6,597","6,525","6,859","6,915","7,479","7,299","7,444","7,593","7,745","7,899"
754 Criminal justice assistance,810,205,758,654,656,498,169,140,137,215,220,265,502,316,424,774,853,872,"1,006",905,"2,638","4,198","4,796","5,354","5,423","3,752","5,351","5,943","7,076","10,814","4,150","3,836","3,973","3,516","7,863","4,601","3,753","3,319","2,987","3,231","4,937","8,016","4,857","5,405","5,451","5,493","5,541"
"Total, Administration of Justice","3,411",884,"3,706","3,999","4,374","4,530","4,566","4,894","5,518","6,205","6,902","6,946","8,957","9,620","10,230","12,577","13,364","15,021","15,419","16,031","19,079","21,425","24,255","26,429","28,062","27,424","31,910","37,056","39,604","45,673","40,574","42,669","47,024","49,934","57,536","56,155","53,579","55,327","51,659","55,683","60,383","56,902","59,794","60,890","61,976","63,064","64,172"
800 General Government:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801 Legislative functions,780,188,878,913,932,"1,111","1,036","1,175","1,418","1,443","1,358","1,412","1,572","1,602","1,785","1,811","2,021","2,137","2,108","2,106","2,172","1,926","2,006","2,073","2,345","2,240","2,725","2,927","3,149","3,173","3,280","3,438","3,548","3,639","4,102","4,237","4,108","3,953","3,699","3,878","3,905","3,979","4,293","4,376","4,463","4,550","4,640"
802 Executive direction and management,71,18,83,79,84,102,108,95,103,111,118,110,120,128,137,296,188,212,254,210,199,206,227,437,491,448,583,565,537,569,620,530,533,508,559,590,530,489,471,498,511,523,531,532,543,554,565
803 Central fiscal operations,"1,768",462,"1,912","2,118","2,375","2,667","2,809","2,928","3,395","3,621","3,854","4,032","4,761","5,159","6,021","6,032","6,288","7,037","7,295","7,707","7,751","7,640","7,426","10,873","9,739","8,466","9,330","9,827","11,692","9,903","10,171","10,675","10,651","11,438","12,400","12,697","12,583","12,430","11,771","12,118","11,868","12,332","15,082","13,884","14,494","15,120","15,755"
804 General property and records management,316,58,350,181,344,293,409,251,450,303,400,418,225,63,422,"2,249","2,024",432,681,719,270,275,578,34,528,-70,501,530,913,810,625,"1,097",486,701,"6,518",698,-612,-471,-871,"2,355",-75,941,561,583,595,608,617
805 Central personnel management,99,25,109,126,133,145,162,141,142,148,149,136,141,145,151,161,171,179,186,185,177,154,150,149,154,161,170,180,212,207,237,210,203,195,188,203,198,199,194,204,205,234,265,272,276,282,286
806 General purpose fiscal assistance,"9,751","3,470","9,342","10,454","8,282","8,664","6,249","6,389","6,361","6,795","6,322","5,847","1,369","1,963","2,043","2,033","2,138","1,893","1,919","2,213","1,908","2,073","2,192","2,192","2,033","2,058","2,473","2,555","7,676","7,702","3,419","3,930","3,847","4,050","4,100","5,224","7,657","7,908","7,807","7,769","7,124","6,699","7,398","7,904","9,405","11,022","12,704"
808 Other general government,470,177,531,618,493,592,763,542,793,489,561,757,981,"1,803",812,719,"1,451","1,694","1,472",924,"1,685",837,"1,412",980,"2,294","2,105","2,077","2,153","2,774","2,495","1,357","1,141","1,699","1,463","3,354","1,717","2,839","4,043","5,613","4,268","2,995","1,970","5,137","1,829","1,837","1,849","1,863"
809 Deductions for offsetting receipts,-322,-150,-256,-289,-198,-351,-222,-216,-636,-513,-506,-78,-623,-694,-893,-361,-718,-480,-739,"-2,087","-1,077","-1,694","-1,497",-855,-884,"-2,383","-1,754",-812,"-1,745","-1,068","-2,841","-1,359","-2,346",-462,"-1,012","-1,721","-1,479","-2,006","-2,692",127,"-4,782","-1,253","-1,275","-1,299","-1,284","-1,292","-1,302"
"Total, General Government","12,932","4,248","12,948","14,200","12,445","13,226","11,313","11,305","12,026","12,399","12,258","12,634","8,546","10,170","10,479","12,940","13,563","13,102","13,177","11,977","13,085","11,417","12,494","15,883","16,700","13,025","16,105","17,925","25,208","23,791","16,868","19,662","18,621","21,532","30,209","23,645","25,824","26,545","25,992","31,217","21,751","25,425","31,992","28,081","30,329","32,693","35,128"
900 Net Interest:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901 Interest on Treasury debt securities (gross),"37,076","8,104","41,915","48,712","59,855","74,803","95,535","117,227","128,653","153,866","178,871","190,272","195,242","214,047","240,845","264,691","285,421","292,294","292,479","296,253","332,379","343,918","355,764","363,759","353,463","361,925","359,476","332,537","318,141","321,679","352,345","405,866","429,966","451,143","383,073","413,934","453,987","359,219","415,651","429,538","402,429","447,293","511,659","576,849","662,110","731,614","793,768"
902 Interest received by on-budget trust funds,"-4,988",-177,"-5,488","-6,128","-7,727","-9,707","-11,523","-13,995","-15,257","-17,044","-21,838","-26,628","-29,614","-34,406","-40,467","-46,321","-50,426","-54,193","-55,537","-56,494","-59,871","-60,869","-63,776","-67,208","-66,520","-69,290","-75,302","-76,494","-72,523","-67,761","-69,153","-71,574","-71,964","-77,821","-63,600","-67,268","-72,030","-14,753","-51,015","-57,848","-45,823","-60,841","-59,015","-56,122","-61,735","-66,142","-73,309"
903 Interest received by off-budget trust funds,"-2,812",-93,"-2,650","-2,403","-2,224","-2,339","-2,288","-2,071","-1,845","-3,310","-4,118","-4,329","-5,290","-7,416","-11,395","-15,991","-20,222","-23,637","-26,788","-29,203","-33,305","-36,507","-41,214","-46,629","-52,070","-59,796","-68,811","-76,819","-83,544","-86,228","-91,836","-97,722","-106,003","-113,718","-117,954","-118,502","-115,981","-112,393","-105,650","-100,266","-95,968","-90,654","-88,329","-85,696","-86,284","-82,822","-80,646"
908 Other interest,"-2,547",-887,"-3,875","-4,723","-7,273","-10,220","-12,958","-16,130","-21,742","-22,410","-23,437","-23,285","-21,732","-20,426","-19,857","-17,542","-20,757","-15,084","-11,431","-7,618","-7,055","-5,488","-6,788","-8,799","-5,115","-9,886","-9,197","-8,277","-6,464","-4,541","-3,957","-7,306","-10,102","-12,902","-14,964","-29,540","-35,363","-8,615","-35,043","-39,888","-37,766","-54,169","-60,836","-49,551","-53,671","-58,737","-64,759"
(On-budget),"-2,547",-887,"-3,875","-4,723","-7,273","-10,220","-12,958","-16,130","-21,742","-22,410","-23,437","-23,285","-21,732","-20,426","-19,857","-17,542","-20,757","-15,084","-11,431","-7,618","-7,055","-5,488","-6,788","-8,798","-5,114","-9,886","-9,197","-8,276","-6,463","-4,541","-3,957","-7,306","-10,102","-12,902","-14,964","-29,540","-35,363","-8,615","-35,043","-39,888","-37,766","-54,169","-60,836","-49,551","-53,671","-58,737","-64,759"
(Off-budget),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,-1,-1,..........,..........,-1,-1,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........
909 Other investment income,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,-1,-1,-2,-2,..........,"-2,460","-2,972","-3,425","-2,661","-4,759","6,027",349,"-2,431",-142,"-3,537","-3,048","-2,568",324,"-1,626",-782,-861,-889,-897,-880
"Total, Net Interest","26,729","6,948","29,901","35,459","42,630","52,538","68,767","85,032","89,808","111,102","129,479","136,030","138,606","151,799","169,127","184,837","194,016","199,380","198,724","202,937","232,148","241,054","243,986","241,122","229,757","222,951","206,164","170,947","153,150","160,177","183,974","226,603","237,138","252,729","186,904","196,193","230,471","219,921","220,895","228,968","223,196","240,003","302,697","384,619","459,531","523,016","574,174"
(On-budget),"29,541","7,040","32,551","37,861","44,855","54,877","71,055","87,102","91,653","114,412","133,597","140,359","143,897","159,215","180,522","200,828","214,238","223,017","225,512","232,141","265,453","277,561","285,200","287,752","281,828","282,747","274,975","247,767","236,695","246,405","275,810","324,325","343,141","366,447","304,858","314,695","346,452","332,314","326,545","329,234","319,164","330,657","391,026","470,315","545,815","605,838","654,820"
(Off-budget),"-2,812",-93,"-2,650","-2,403","-2,224","-2,339","-2,288","-2,071","-1,845","-3,310","-4,118","-4,329","-5,290","-7,416","-11,395","-15,991","-20,222","-23,637","-26,788","-29,203","-33,305","-36,507","-41,214","-46,630","-52,071","-59,796","-68,811","-76,820","-83,545","-86,228","-91,836","-97,722","-106,003","-113,718","-117,954","-118,502","-115,981","-112,393","-105,650","-100,266","-95,968","-90,654","-88,329","-85,696","-86,284","-82,822","-80,646"
920 Allowances:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923 Immigration Reform,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"5,000","10,000","15,000","20,000","20,000"
924 Adjustment for Budget Control Act Caps (Non-Security),..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"-12,629","-15,846","-27,244","-19,516"
925 Future Disaster Costs,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"7,500","10,000","10,000","10,000","10,000","10,000"
929 Placeholder for Outyear OCO Costs,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"10,988","10,987","10,987","10,987"
"Total, Allowances",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"7,500","15,000","18,359","20,141","13,743","21,471"
950 Undistributed Offsetting Receipts:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"951 Employer share, employee retirement (on-budget)","-10,761","-2,646","-11,528","-12,401","-13,095","-14,638","-16,473","-18,203","-21,706","-23,219","-24,648","-25,434","-27,259","-29,037","-29,425","-28,044","-30,402","-30,680","-28,186","-28,361","-27,961","-27,259","-27,773","-27,820","-28,209","-30,214","-30,883","-33,489","-39,751","-42,100","-47,977","-49,231","-49,476","-53,033","-56,431","-62,100","-64,581","-68,347","-65,155","-63,612","-65,112","-67,500","-70,948","-71,323","-73,226","-74,897","-76,441"
"952 Employer share, employee retirement (off-budget)",-963,-249,-977,"-1,060","-1,114","-1,204","-1,430","-1,646","-1,778","-2,044","-2,509","-2,857","-3,300","-4,382","-4,858","-5,567","-5,804","-6,101","-6,416","-6,409","-6,432","-6,278","-6,483","-7,052","-7,385","-7,637","-7,910","-8,878","-9,602","-11,331","-10,941","-11,625","-12,299","-13,145","-14,226","-14,936","-15,099","-15,592","-16,168","-15,737","-16,008","-16,905","-17,345","-18,009","-18,817","-19,542","-20,309"
953 Rents and royalties on the Outer Continental Shelf,"-2,662","-1,311","-2,374","-2,259","-3,267","-4,101","-10,138","-6,250","-10,491","-6,694","-5,542","-4,716","-4,021","-3,548","-2,929","-3,004","-3,150","-2,498","-2,785","-3,001","-2,418","-3,741","-4,711","-4,522","-3,098","-4,580","-7,194","-5,024","-5,029","-5,106","-6,146","-7,283","-6,763","-18,285","-5,292","-4,883","-6,383","-6,605","-8,874","-7,474","-4,555","-3,826","-4,495","-5,139","-5,874","-6,203","-6,350"
954 Sale of major assets,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"-1,875",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"-5,158",..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"-2,404","-12,992","-2,588",..........,..........,..........,..........,..........,..........,..........,..........
959 Other undistributed offsetting receipts,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,..........,"-7,644",-342,"-11,006","-2,642","-1,753",-150,"-1,024",-1,..........,..........,-160,-111,"-13,700","-1,779","-16,690",-197,..........,..........,..........,"-1,221","-30,128","-12,925","-15,700","-8,050",-575,"-1,115",-965
"Total, Undistributed Offsetting Receipts","-14,386","-4,206","-14,879","-15,720","-17,476","-19,942","-28,041","-26,099","-33,976","-31,957","-32,698","-33,007","-36,455","-36,967","-37,212","-36,615","-39,356","-39,280","-37,386","-37,772","-44,455","-37,620","-49,973","-47,194","-40,445","-42,581","-47,011","-47,392","-54,382","-58,537","-65,224","-68,250","-82,238","-86,242","-92,639","-82,116","-88,467","-103,536","-92,785","-88,044","-115,803","-101,156","-108,488","-102,521","-98,492","-101,757","-104,065"
(On-budget),"-13,423","-3,957","-13,902","-14,660","-16,362","-18,738","-26,611","-24,453","-32,198","-29,913","-30,189","-30,150","-33,155","-32,585","-32,354","-31,048","-33,553","-33,179","-30,970","-31,362","-38,023","-31,342","-43,490","-40,142","-33,060","-34,944","-39,101","-38,514","-44,780","-47,206","-54,283","-56,625","-69,939","-73,097","-78,413","-67,180","-73,368","-87,944","-76,617","-72,307","-99,795","-84,251","-91,143","-84,512","-79,675","-82,215","-83,756"
(Off-budget),-963,-249,-977,"-1,060","-1,114","-1,204","-1,430","-1,646","-1,778","-2,044","-2,509","-2,857","-3,300","-4,382","-4,858","-5,567","-5,804","-6,101","-6,416","-6,409","-6,432","-6,278","-6,483","-7,052","-7,385","-7,637","-7,910","-8,878","-9,602","-11,331","-10,941","-11,625","-12,299","-13,145","-14,226","-14,936","-15,099","-15,592","-16,168","-15,737","-16,008","-16,905","-17,345","-18,009","-18,817","-19,542","-20,309"
Total budget authority,"420,870","96,610","468,450","504,565","558,829","670,062","740,300","806,522","869,841","923,384","1,028,252","1,013,934","1,033,008","1,091,310","1,195,894","1,286,164","1,386,065","1,467,388","1,474,333","1,529,205","1,539,653","1,580,911","1,642,778","1,692,152","1,776,660","1,824,870","1,958,871","2,090,012","2,266,057","2,408,175","2,582,641","2,780,398","2,863,068","3,326,275","4,077,475","3,484,600","3,509,881","3,576,168","3,478,366","3,619,008","3,772,713","3,990,913","4,234,877","4,374,189","4,674,166","4,933,090","5,178,555"
(On-budget),"350,626","76,933","387,168","414,316","457,934","554,327","603,614","654,001","722,279","756,109","848,801","827,551","835,843","885,881","982,104","1,057,765","1,140,259","1,211,564","1,205,208","1,246,635","1,249,028","1,273,940","1,327,595","1,368,153","1,450,241","1,489,821","1,602,858","1,724,687","1,890,538","2,021,978","2,169,283","2,349,893","2,402,844","2,841,635","3,548,278","2,929,430","3,010,144","3,064,657","2,839,596","2,906,595","3,023,622","3,198,428","3,403,270","3,484,403","3,725,153","3,917,538","4,099,023"
(Off-budget),"70,244","19,677","81,282","90,250","100,895","115,735","136,686","152,521","147,562","167,275","179,452","186,384","197,165","205,429","213,790","228,399","245,806","255,824","269,125","282,570","290,625","306,971","315,183","323,999","326,419","335,049","356,013","365,325","375,519","386,197","413,358","430,505","460,224","484,640","529,197","555,170","499,737","511,511","638,770","712,413","749,091","792,485","831,607","889,786","949,013","1,015,552","1,079,532"
N/A = Not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On-budget unless otherwise stated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
