Function and Subfunction,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate,2021 estimate
050 National Defense:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051 Department of Defense-Military:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151 International development and humanitarian assistance,"3,076",319,"3,550","4,183","5,084","5,264","4,420","4,474","4,711","5,069","6,496","4,759","4,902","5,022","5,295","5,695","6,777","6,654","6,989","7,698","7,660","6,084","5,954","7,174","8,974","6,739","8,124","7,712","15,108","30,495","13,449","14,533","16,269","17,652","25,262","25,222","21,658","22,312","23,625","23,759","26,152","25,626","24,600","28,275","28,819","29,423","30,045"
152 International security assistance,"3,712",589,"3,954","4,577","5,772","5,066","5,068","6,863","8,142","8,943","13,730","9,543","8,213","8,598","7,666","8,393","9,061","6,682","5,491","4,531","4,626","5,038","5,159","5,372","5,869","7,763","6,659","6,927","10,058","7,680","8,502","9,067","10,581","10,549","11,162","14,095","12,466","14,124","12,598","11,650","12,246","11,896","12,761","7,927","8,094","8,259","8,442"
153 Conduct of foreign affairs,782,362,"1,054","1,241","1,318","1,343","1,465","1,688","1,830","2,011","2,496","2,988","2,580","2,628","2,773","2,928","3,236","4,048","4,300","4,617","4,060","3,825","3,890","3,842","5,889","5,614","6,411","7,213","7,208","8,437","9,703","9,827","9,537","12,073","14,352","15,820","14,029","16,298","15,118","13,825","14,234","14,767","15,218","10,310","10,516","10,722","10,941"
154 Foreign information and exchange activities,423,103,400,451,506,518,555,587,688,805,947,969,"1,029","1,054","1,126","1,315","1,242","1,302","1,247","1,494","1,420","1,130","1,117","1,223","1,209",770,898,969,"1,006",999,"1,087","1,261","1,266","1,256","1,431","1,580","1,552","1,546","1,445","1,489","1,515","1,553","1,541","1,573","1,603","1,636","1,668"
155 International financial programs,"6,063","-1,043",-744,"1,124","-2,298","5,761","15,844","4,612","-4,632","7,718","2,776","-1,607","1,997",-123,390,473,"2,369","2,523","14,275",-647,"7,855",310,"-1,549","-2,897","15,930","1,756","-1,930","2,287","-1,691","-2,476",106,"-1,976","30,727","6,380","11,169","3,878","3,884","39,059","-12,233","6,766","9,111","5,523","4,009","-11,433","-9,598","-7,205","-5,209"
"Total, International Affairs","14,057",331,"8,214","11,575","10,382","17,952","27,352","18,224","10,739","24,547","26,446","16,652","18,721","17,179","17,250","18,805","22,685","21,209","32,303","17,693","25,621","16,387","14,571","14,714","37,871","22,642","20,162","25,108","31,689","45,135","32,847","32,712","68,380","47,910","63,376","60,595","53,589","93,339","40,553","57,489","63,258","59,365","58,129","36,652","39,434","42,835","45,887"
"250 General Science, Space, and Technology:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251 General science and basic research,"1,039",246,"1,136","1,274","1,347","1,460","1,535","1,535","1,637","1,957","2,223","2,107","2,324","2,521","2,835","3,167","3,454","4,105","4,149","4,558","4,132","4,121","4,184","5,627","6,356","6,707","7,662","8,077","8,626","9,046","9,086","9,260","9,799","10,213","15,969","11,860","11,740","12,027","11,614","12,362","12,552","12,842","13,674","13,937","14,215","14,497","14,784"
"252 Space flight, research, and supporting activities","3,227",850,"3,498","3,807","4,223","4,790","5,108","5,684","6,517","6,858","6,925","7,165","10,198","8,322","10,097","11,460","13,046","13,199","13,063","13,022","12,543","12,570","12,456","12,321","12,460","12,541","13,327","13,901","14,386","14,321","15,243","15,765","15,581","16,580","18,134","18,228","17,913","17,200","16,350","17,081","17,370","18,646","18,235","17,980","18,341","18,706","19,082"
"Total, General Science, Space, and Technology","4,266","1,095","4,634","5,081","5,570","6,250","6,643","7,218","8,155","8,815","9,148","9,272","12,522","10,843","12,932","14,627","16,500","17,304","17,212","17,580","16,675","16,691","16,640","17,948","18,816","19,248","20,989","21,978","23,012","23,367","24,329","25,025","25,380","26,793","34,103","30,088","29,653","29,227","27,964","29,443","29,922","31,488","31,909","31,917","32,556","33,203","33,866"
